@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric

@data
1488,'2024/06/06 14:45:35:662',8,87,71,159,0
1489,'2024/06/06 14:45:35:686',8,84,70,165,0
1490,'2024/06/06 14:45:35:718',8,84,70,165,0
1491,'2024/06/06 14:45:35:748',8,83,72,165,0
1492,'2024/06/06 14:45:35:778',8,86,76,160,0
1493,'2024/06/06 14:45:35:808',8,83,76,159,0
1494,'2024/06/06 14:45:35:837',8,83,76,157,0
1495,'2024/06/06 14:45:35:868',8,81,72,163,0
1496,'2024/06/06 14:45:35:898',8,82,74,161,0
1497,'2024/06/06 14:45:35:928',8,82,74,161,0
1498,'2024/06/06 14:45:35:962',8,81,74,160,0
1499,'2024/06/06 14:45:35:996',8,80,72,163,0
1500,'2024/06/06 14:45:36:025',8,84,74,160,0
1501,'2024/06/06 14:45:36:054',8,84,71,161,0
1502,'2024/06/06 14:45:36:092',8,87,72,161,0
1503,'2024/06/06 14:45:36:125',8,94,74,159,0
1504,'2024/06/06 14:45:36:156',8,98,66,167,0
1505,'2024/06/06 14:45:36:192',8,100,67,166,0
1506,'2024/06/06 14:45:36:222',8,100,66,168,0
1507,'2024/06/06 14:45:36:252',8,105,66,169,0
1508,'2024/06/06 14:45:36:284',8,108,66,167,0
1509,'2024/06/06 14:45:36:322',8,108,66,167,0
1510,'2024/06/06 14:45:36:352',8,116,66,169,0
1511,'2024/06/06 14:45:36:386',8,116,66,169,0
1512,'2024/06/06 14:45:36:417',8,116,66,169,0
1513,'2024/06/06 14:45:36:455',8,116,66,169,0
1514,'2024/06/06 14:45:36:489',8,116,66,169,0
1515,'2024/06/06 14:45:36:521',8,116,66,169,0
1516,'2024/06/06 14:45:36:552',8,116,66,169,0
1517,'2024/06/06 14:45:36:588',8,116,66,169,0
1518,'2024/06/06 14:45:36:629',8,116,66,169,0
1519,'2024/06/06 14:45:36:658',8,116,66,169,0
1520,'2024/06/06 14:45:36:688',8,116,66,169,0
1521,'2024/06/06 14:45:39:787',9,164,118,57,0
1522,'2024/06/06 14:45:39:820',9,164,118,57,0
1523,'2024/06/06 14:45:39:850',9,162,117,59,0
1524,'2024/06/06 14:45:39:882',9,162,117,59,0
1525,'2024/06/06 14:45:39:910',9,163,117,58,0
1526,'2024/06/06 14:45:39:939',9,162,116,61,0
1527,'2024/06/06 14:45:39:968',9,163,117,58,0
1528,'2024/06/06 14:45:39:994',9,163,117,58,0
1529,'2024/06/06 14:45:40:026',9,161,115,61,0
1530,'2024/06/06 14:45:40:051',9,162,116,60,0
1531,'2024/06/06 14:45:40:080',9,162,115,61,0
1532,'2024/06/06 14:45:40:109',9,162,115,60,0
1533,'2024/06/06 14:45:40:139',9,162,114,61,0
1534,'2024/06/06 14:45:40:172',9,166,117,56,0
1535,'2024/06/06 14:45:40:200',9,164,115,58,0
1536,'2024/06/06 14:45:40:229',9,164,115,59,0
1537,'2024/06/06 14:45:40:259',9,164,114,59,0
1538,'2024/06/06 14:45:40:287',9,167,115,58,0
1539,'2024/06/06 14:45:40:315',9,167,115,58,0
1540,'2024/06/06 14:45:40:347',9,167,114,58,0
1541,'2024/06/06 14:45:40:383',9,167,115,58,0
1542,'2024/06/06 14:45:40:416',9,168,115,59,0
1543,'2024/06/06 14:45:40:444',9,168,116,59,0
1544,'2024/06/06 14:45:40:470',9,171,116,58,0
1545,'2024/06/06 14:45:40:501',9,170,115,61,0
1546,'2024/06/06 14:45:40:535',9,171,116,60,0
1547,'2024/06/06 14:45:40:565',9,172,117,58,0
1548,'2024/06/06 14:45:40:593',9,172,116,60,0
1549,'2024/06/06 14:45:40:620',9,173,115,62,0
1550,'2024/06/06 14:45:40:652',9,173,115,62,0
1551,'2024/06/06 14:45:40:682',9,173,115,62,0
1552,'2024/06/06 14:45:40:710',9,173,115,62,0
1553,'2024/06/06 14:45:40:745',9,173,115,62,0
1554,'2024/06/06 14:45:40:774',9,173,115,62,0
1555,'2024/06/06 14:45:40:803',9,173,115,62,0
1556,'2024/06/06 14:45:40:830',9,173,115,62,0
1557,'2024/06/06 14:45:40:864',9,173,115,62,0
1558,'2024/06/06 14:45:40:893',9,173,115,62,0
1559,'2024/06/06 14:45:40:920',9,173,115,62,0
1560,'2024/06/06 14:45:40:952',9,173,115,62,0
1561,'2024/06/06 14:45:40:980',9,173,115,62,0
1562,'2024/06/06 14:45:41:006',9,0,0,0,0
1563,'2024/06/06 14:45:41:038',9,0,0,0,0
1564,'2024/06/06 14:45:41:067',9,0,0,0,0
1565,'2024/06/06 14:45:41:094',9,0,0,0,0
1566,'2024/06/06 14:45:41:127',9,0,0,0,0
