@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric

@data
1825,'2024/06/06 14:46:04:647',15,3,35,145,0.9
1826,'2024/06/06 14:46:04:667',15,3,35,145,0.9
1827,'2024/06/06 14:46:04:686',15,3,35,145,0.9
1828,'2024/06/06 14:46:04:710',15,3,35,145,0.9
1829,'2024/06/06 14:46:04:729',15,0,0,0,0.9
1830,'2024/06/06 14:46:04:750',15,0,0,0,0.9
1831,'2024/06/06 14:46:04:770',15,0,0,0,0.9
1832,'2024/06/06 14:46:04:791',15,0,0,0,0.9
1833,'2024/06/06 14:46:04:812',15,0,0,0,0.9
1834,'2024/06/06 14:46:04:832',15,0,0,0,0.9
1835,'2024/06/06 14:46:04:852',15,0,0,0,0.9
1836,'2024/06/06 14:46:04:873',15,0,0,0,0.9
1837,'2024/06/06 14:46:04:893',15,0,0,0,0.9
1838,'2024/06/06 14:46:04:912',15,0,0,0,0.9
1839,'2024/06/06 14:46:04:932',15,0,0,0,0.9
1840,'2024/06/06 14:46:04:952',15,0,0,0,0.9
1841,'2024/06/06 14:46:04:973',15,0,0,0,0.9
1842,'2024/06/06 14:46:04:992',15,0,0,0,0.9
1843,'2024/06/06 14:46:05:013',15,0,0,0,0.9
1844,'2024/06/06 14:46:05:034',15,0,0,0,0.9
1845,'2024/06/06 14:46:05:054',15,0,0,0,0.9
1846,'2024/06/06 14:46:05:073',15,0,0,0,0.9
1847,'2024/06/06 14:46:05:093',15,0,0,0,0.9
1848,'2024/06/06 14:46:05:115',15,0,0,0,0.9
1849,'2024/06/06 14:46:05:134',15,0,0,0,0.9
1850,'2024/06/06 14:46:05:155',15,0,0,0,0.9
1851,'2024/06/06 14:46:05:174',15,0,0,0,0.9
1852,'2024/06/06 14:46:05:193',15,0,0,0,0.9
1853,'2024/06/06 14:46:05:213',15,0,0,0,0.9
1854,'2024/06/06 14:46:05:235',15,0,0,0,0.9
1855,'2024/06/06 14:46:05:256',15,0,0,0,0.9
1856,'2024/06/06 14:46:05:278',15,0,0,0,0.9
1857,'2024/06/06 14:46:05:298',15,0,0,0,0.9
1858,'2024/06/06 14:46:05:320',15,0,0,0,0.9
1859,'2024/06/06 14:46:07:871',16,81,79,72,0.9
1860,'2024/06/06 14:46:07:905',16,82,79,72,0.9
1861,'2024/06/06 14:46:07:935',16,81,78,74,0.9
1862,'2024/06/06 14:46:07:967',16,81,78,74,0.9
1863,'2024/06/06 14:46:07:995',16,82,78,72,0.9
1864,'2024/06/06 14:46:08:023',16,82,78,72,0.9
1865,'2024/06/06 14:46:08:054',16,82,79,72,0.9
1866,'2024/06/06 14:46:08:084',16,81,78,73,0.9
1867,'2024/06/06 14:46:08:120',16,80,78,74,0.9
1868,'2024/06/06 14:46:08:157',16,80,78,73,0.9
1869,'2024/06/06 14:46:08:190',16,80,78,74,0.9
1870,'2024/06/06 14:46:08:212',16,80,78,74,0.9
1871,'2024/06/06 14:46:08:234',16,80,78,73,0.9
1872,'2024/06/06 14:46:08:257',16,80,78,73,0.9
1873,'2024/06/06 14:46:08:276',16,80,78,73,0.9
1874,'2024/06/06 14:46:08:296',16,80,78,74,0.9
1875,'2024/06/06 14:46:08:318',16,80,78,74,0.9
1876,'2024/06/06 14:46:08:341',16,80,78,74,0.9
1877,'2024/06/06 14:46:08:362',16,80,78,74,0.9
1878,'2024/06/06 14:46:08:385',16,80,78,74,0.9
1879,'2024/06/06 14:46:08:406',16,81,79,73,0.9
1880,'2024/06/06 14:46:08:427',16,80,78,74,0.9
1881,'2024/06/06 14:46:08:450',16,80,78,74,0.9
1882,'2024/06/06 14:46:08:471',16,81,79,73,0.9
1883,'2024/06/06 14:46:08:503',16,80,78,73,0.9
1884,'2024/06/06 14:46:08:534',16,80,78,75,0.9
1885,'2024/06/06 14:46:08:569',16,81,79,73,0.9
1886,'2024/06/06 14:46:08:603',16,80,78,74,0.9
1887,'2024/06/06 14:46:08:632',16,82,79,72,0.9
1888,'2024/06/06 14:46:08:660',16,82,79,72,0.9
1889,'2024/06/06 14:46:08:689',16,82,79,72,0.9
1890,'2024/06/06 14:46:08:718',16,82,79,72,0.9
1891,'2024/06/06 14:46:08:745',16,82,79,72,0.9
1892,'2024/06/06 14:46:08:782',16,83,79,71,0.9
1893,'2024/06/06 14:46:08:809',16,83,79,72,0.9
1894,'2024/06/06 14:46:08:844',16,83,79,72,0.9
1895,'2024/06/06 14:46:08:878',16,83,79,71,0.9
1896,'2024/06/06 14:46:08:906',16,83,79,72,0.9
1897,'2024/06/06 14:46:08:939',16,84,79,72,0.9
1898,'2024/06/06 14:46:08:976',16,83,79,73,0.9
1899,'2024/06/06 14:46:09:006',16,83,78,73,0.9
1900,'2024/06/06 14:46:09:036',16,83,78,73,0.9
1901,'2024/06/06 14:46:09:065',16,83,78,74,0.9
1902,'2024/06/06 14:46:09:097',16,83,78,75,0.9
1903,'2024/06/06 14:46:09:124',16,84,77,75,0.9
1904,'2024/06/06 14:46:09:156',16,84,77,75,0.9
1905,'2024/06/06 14:46:09:187',16,84,77,76,0.9
1906,'2024/06/06 14:46:09:215',16,84,76,77,0.9
1907,'2024/06/06 14:46:09:247',16,84,76,77,0.9
1908,'2024/06/06 14:46:09:278',16,84,74,80,0.9
1909,'2024/06/06 14:46:09:315',16,84,74,81,0.9
1910,'2024/06/06 14:46:09:352',16,85,73,81,0.9
1911,'2024/06/06 14:46:09:387',16,84,71,84,0.9
1912,'2024/06/06 14:46:09:413',16,86,72,83,0.9
1913,'2024/06/06 14:46:09:442',16,86,71,86,0.9
1914,'2024/06/06 14:46:09:469',16,86,71,86,0.9
1915,'2024/06/06 14:46:09:496',16,85,68,90,0.9
1916,'2024/06/06 14:46:09:523',16,83,67,92,0.9
1917,'2024/06/06 14:46:09:551',16,83,67,92,0.9
1918,'2024/06/06 14:46:09:585',16,81,67,93,0.9
1919,'2024/06/06 14:46:09:613',16,82,66,95,0.9
1920,'2024/06/06 14:46:09:645',16,77,63,99,0.9
1921,'2024/06/06 14:46:09:676',16,74,63,103,0.9
1922,'2024/06/06 14:46:09:707',16,65,58,113,0.9
1923,'2024/06/06 14:46:09:738',16,62,60,112,0.9
1924,'2024/06/06 14:46:09:772',16,61,60,111,0.9
1925,'2024/06/06 14:46:09:805',16,61,60,111,0.9
1926,'2024/06/06 14:46:09:836',16,41,58,125,0.9
1927,'2024/06/06 14:46:09:873',16,32,58,128,0.9
1928,'2024/06/06 14:46:09:905',16,21,56,133,0.9
1929,'2024/06/06 14:46:09:933',16,17,55,132,0.9
1930,'2024/06/06 14:46:09:960',16,10,57,133,0.9
1931,'2024/06/06 14:46:09:988',16,10,57,133,0.9
1932,'2024/06/06 14:46:10:018',16,10,57,133,0.9
1933,'2024/06/06 14:46:10:048',16,10,57,133,0.9
1934,'2024/06/06 14:46:10:080',16,10,57,133,0.9
1935,'2024/06/06 14:46:10:108',16,10,57,133,0.9
1936,'2024/06/06 14:46:10:135',16,10,57,133,0.9
1937,'2024/06/06 14:46:10:167',16,10,57,133,0.9
1938,'2024/06/06 14:46:10:194',16,10,57,133,0.9
1939,'2024/06/06 14:46:10:214',16,10,57,133,0.9
1940,'2024/06/06 14:46:10:235',16,10,57,133,0.9
1941,'2024/06/06 14:46:10:256',16,10,57,133,0.9
1942,'2024/06/06 14:46:10:274',16,0,0,0,0.9
1943,'2024/06/06 14:46:10:292',16,0,0,0,0.9
1944,'2024/06/06 14:46:10:311',16,0,0,0,0.9
1945,'2024/06/06 14:46:10:329',16,0,0,0,0.9
1946,'2024/06/06 14:46:10:350',16,0,0,0,0.9
1947,'2024/06/06 14:46:10:369',16,0,0,0,0.9
1948,'2024/06/06 14:46:10:390',16,0,0,0,0.9
1949,'2024/06/06 14:46:10:413',16,0,0,0,0.9
1950,'2024/06/06 14:46:10:432',16,0,0,0,0.9
1951,'2024/06/06 14:46:10:449',16,0,0,0,0.9
1952,'2024/06/06 14:46:10:469',16,0,0,0,0.9
1953,'2024/06/06 14:46:10:490',16,0,0,0,0.9
1954,'2024/06/06 14:46:10:511',16,0,0,0,0.9
1955,'2024/06/06 14:46:10:532',16,0,0,0,0.9
1956,'2024/06/06 14:46:10:552',16,0,0,0,0.9
1957,'2024/06/06 14:46:10:572',16,0,0,0,0.9
1958,'2024/06/06 14:46:10:592',16,0,0,0,0.9
1959,'2024/06/06 14:46:10:612',16,0,0,0,0.9
1960,'2024/06/06 14:46:10:632',16,0,0,0,0.9
1961,'2024/06/06 14:46:10:650',16,0,0,0,0.9
1962,'2024/06/06 14:46:10:670',16,0,0,0,0.9
1963,'2024/06/06 14:46:10:689',16,0,0,0,0.9
1964,'2024/06/06 14:46:10:709',16,0,0,0,0.9
1965,'2024/06/06 14:46:10:729',16,0,0,0,0.9
1966,'2024/06/06 14:46:10:751',16,0,0,0,0.9
1967,'2024/06/06 14:46:10:772',16,0,0,0,0.9
1968,'2024/06/06 14:46:10:793',16,0,0,0,0.9
1969,'2024/06/06 14:46:10:814',16,0,0,0,0.9
1970,'2024/06/06 14:46:10:834',16,0,0,0,0.9
1971,'2024/06/06 14:46:10:853',16,0,0,0,0.9
1972,'2024/06/06 14:46:10:874',16,0,0,0,0.9
1973,'2024/06/06 14:46:10:892',16,0,0,0,0.9
1974,'2024/06/06 14:46:10:913',16,0,0,0,0.9
1975,'2024/06/06 14:46:10:936',16,0,0,0,0.9
1976,'2024/06/06 14:46:10:955',16,0,0,0,0.9
1977,'2024/06/06 14:46:10:977',16,0,0,0,0.9
1978,'2024/06/06 14:46:10:996',16,0,0,0,0.9
1979,'2024/06/06 14:46:11:015',16,0,0,0,0.9
1980,'2024/06/06 14:46:11:035',16,0,0,0,0.9
1981,'2024/06/06 14:46:11:054',16,0,0,0,0.9
1982,'2024/06/06 14:46:11:073',16,0,0,0,0.9
1983,'2024/06/06 14:46:11:093',16,0,0,0,0.9
1984,'2024/06/06 14:46:11:113',16,0,0,0,0.9
1985,'2024/06/06 14:46:11:131',16,0,0,0,0.9
1986,'2024/06/06 14:46:11:152',16,0,0,0,0.9
1987,'2024/06/06 14:46:11:176',16,0,0,0,0.9
1988,'2024/06/06 14:46:11:197',16,0,0,0,0.9
1989,'2024/06/06 14:46:11:220',16,0,0,0,0.9
1990,'2024/06/06 14:46:11:242',16,0,0,0,0.9
1991,'2024/06/06 14:46:11:263',16,0,0,0,0.9
1992,'2024/06/06 14:46:11:283',16,0,0,0,0.9
1993,'2024/06/06 14:46:11:307',16,1,56,128,0.9
1994,'2024/06/06 14:46:11:331',16,2,54,128,0.9
1995,'2024/06/06 14:46:11:351',16,2,52,131,0.9
1996,'2024/06/06 14:46:11:376',16,2,52,131,0.9
1997,'2024/06/06 14:46:11:400',16,5,54,129,0.9
1998,'2024/06/06 14:46:11:423',16,5,54,130,0.9
1999,'2024/06/06 14:46:11:444',16,5,54,130,0.9
2000,'2024/06/06 14:46:11:467',16,5,51,135,0.9
2001,'2024/06/06 14:46:11:488',16,5,52,133,0.9
2002,'2024/06/06 14:46:11:511',16,5,52,133,0.9
2003,'2024/06/06 14:46:11:532',16,6,53,132,0.9
2004,'2024/06/06 14:46:11:557',16,7,52,133,0.9
2005,'2024/06/06 14:46:11:580',16,7,52,133,0.9
2006,'2024/06/06 14:46:11:601',16,7,51,133,0.9
2007,'2024/06/06 14:46:11:622',16,8,52,132,0.9
2008,'2024/06/06 14:46:11:642',16,8,52,132,0.9
2009,'2024/06/06 14:46:11:661',16,7,51,135,0.9
2010,'2024/06/06 14:46:11:682',16,8,52,133,0.9
2011,'2024/06/06 14:46:11:703',16,8,52,133,0.9
2012,'2024/06/06 14:46:11:724',16,8,52,132,0.9
2013,'2024/06/06 14:46:11:745',16,8,52,132,0.9
2014,'2024/06/06 14:46:11:766',16,7,52,133,0.9
2015,'2024/06/06 14:46:11:788',16,7,52,133,0.9
2016,'2024/06/06 14:46:11:810',16,7,52,133,0.9
2017,'2024/06/06 14:46:11:832',16,7,53,132,0.9
2018,'2024/06/06 14:46:11:852',16,8,52,133,0.9
2019,'2024/06/06 14:46:11:875',16,8,52,133,0.9
2020,'2024/06/06 14:46:11:895',16,7,52,132,0.9
2021,'2024/06/06 14:46:11:916',16,8,53,132,0.9
2022,'2024/06/06 14:46:11:937',16,8,53,132,0.9
2023,'2024/06/06 14:46:11:960',16,8,52,134,0.9
2024,'2024/06/06 14:46:11:984',16,8,52,134,0.9
2025,'2024/06/06 14:46:12:007',16,7,52,134,0.9
2026,'2024/06/06 14:46:12:030',16,7,52,136,0.9
2027,'2024/06/06 14:46:12:054',16,8,53,136,0.9
2028,'2024/06/06 14:46:12:076',16,8,53,136,0.9
2029,'2024/06/06 14:46:12:097',16,7,51,137,0.9
2030,'2024/06/06 14:46:12:120',16,7,52,136,0.9
2031,'2024/06/06 14:46:12:141',16,7,52,136,0.9
2032,'2024/06/06 14:46:13:414',17,73,64,82,0.9
2033,'2024/06/06 14:46:13:442',17,74,65,81,0.9
2034,'2024/06/06 14:46:13:473',17,76,66,79,0.9
2035,'2024/06/06 14:46:13:508',17,77,67,79,0.9
2036,'2024/06/06 14:46:13:537',17,78,68,78,0.9
2037,'2024/06/06 14:46:13:573',17,78,68,77,0.9
2038,'2024/06/06 14:46:13:603',17,78,68,78,0.9
2039,'2024/06/06 14:46:13:632',17,78,69,77,0.9
2040,'2024/06/06 14:46:13:667',17,79,70,76,0.9
2041,'2024/06/06 14:46:13:694',17,79,70,77,0.9
2042,'2024/06/06 14:46:13:723',17,79,70,77,0.9
2043,'2024/06/06 14:46:13:754',17,80,71,76,0.9
2044,'2024/06/06 14:46:13:786',17,81,72,75,0.9
2045,'2024/06/06 14:46:13:815',17,80,72,76,0.9
2046,'2024/06/06 14:46:13:849',17,80,72,76,0.9
2047,'2024/06/06 14:46:13:885',17,80,71,77,0.9
2048,'2024/06/06 14:46:13:919',17,80,71,76,0.9
2049,'2024/06/06 14:46:13:955',17,80,71,76,0.9
2050,'2024/06/06 14:46:13:985',17,80,70,78,0.9
2051,'2024/06/06 14:46:14:020',17,80,70,79,0.9
2052,'2024/06/06 14:46:14:047',17,79,69,80,0.9
2053,'2024/06/06 14:46:14:075',17,78,69,81,0.9
2054,'2024/06/06 14:46:14:107',17,78,67,84,0.9
2055,'2024/06/06 14:46:14:136',17,76,67,85,0.9
2056,'2024/06/06 14:46:14:169',17,77,68,83,0.9
2057,'2024/06/06 14:46:14:202',17,75,66,87,0.9
2058,'2024/06/06 14:46:14:238',17,75,66,88,0.9
2059,'2024/06/06 14:46:14:269',17,74,65,91,0.9
2060,'2024/06/06 14:46:14:305',17,75,65,90,0.9
2061,'2024/06/06 14:46:14:330',17,74,64,92,0.9
2062,'2024/06/06 14:46:14:367',17,69,62,98,0.9
2063,'2024/06/06 14:46:14:396',17,68,60,103,0.9
2064,'2024/06/06 14:46:14:429',17,68,60,103,0.9
2065,'2024/06/06 14:46:14:463',17,65,58,108,0.9
2066,'2024/06/06 14:46:14:496',17,58,53,116,0.9
2067,'2024/06/06 14:46:14:524',17,55,51,119,0.9
2068,'2024/06/06 14:46:14:552',17,55,51,119,0.9
2069,'2024/06/06 14:46:14:588',17,53,50,123,0.9
2070,'2024/06/06 14:46:14:623',17,49,47,129,0.9
2071,'2024/06/06 14:46:14:656',17,44,45,136,0.9
2072,'2024/06/06 14:46:14:687',17,44,45,136,0.9
2073,'2024/06/06 14:46:14:725',17,40,40,147,0.9
2074,'2024/06/06 14:46:14:756',17,40,40,147,0.9
2075,'2024/06/06 14:46:14:792',17,40,42,145,0.9
2076,'2024/06/06 14:46:14:827',17,32,41,160,0.9
2077,'2024/06/06 14:46:14:861',17,27,43,163,0.9
2078,'2024/06/06 14:46:14:897',17,27,43,163,0.9
2079,'2024/06/06 14:46:14:927',17,25,42,166,0.9
2080,'2024/06/06 14:46:14:958',17,24,44,168,0.9
2081,'2024/06/06 14:46:14:987',17,20,46,172,0.9
2082,'2024/06/06 14:46:15:015',17,20,47,175,0.9
2083,'2024/06/06 14:46:15:056',17,19,49,173,0.9
2084,'2024/06/06 14:46:15:092',17,18,53,176,0.9
2085,'2024/06/06 14:46:15:128',17,20,59,172,0.9
2086,'2024/06/06 14:46:15:159',17,20,59,172,0.9
2087,'2024/06/06 14:46:15:188',17,20,58,176,0.9
2088,'2024/06/06 14:46:15:218',17,22,60,173,0.9
2089,'2024/06/06 14:46:15:250',17,21,60,173,0.9
2090,'2024/06/06 14:46:15:287',17,29,62,171,0.9
2091,'2024/06/06 14:46:15:315',17,31,65,170,0.9
2092,'2024/06/06 14:46:15:347',17,28,55,179,0.9
2093,'2024/06/06 14:46:15:385',17,34,65,169,0.9
2094,'2024/06/06 14:46:15:409',17,37,61,174,0.9
2095,'2024/06/06 14:46:15:433',17,37,61,174,0.9
2096,'2024/06/06 14:46:15:454',17,40,64,168,0.9
2097,'2024/06/06 14:46:15:476',17,40,64,168,0.9
2098,'2024/06/06 14:46:15:502',17,31,62,171,0.9
2099,'2024/06/06 14:46:15:525',17,37,61,173,0.9
2100,'2024/06/06 14:46:15:547',17,37,61,173,0.9
2101,'2024/06/06 14:46:15:570',17,37,60,176,0.9
2102,'2024/06/06 14:46:15:590',17,32,58,175,0.9
2103,'2024/06/06 14:46:15:612',17,32,58,175,0.9
2104,'2024/06/06 14:46:15:634',17,28,63,170,0.9
2105,'2024/06/06 14:46:15:655',17,31,60,165,0.9
2106,'2024/06/06 14:46:15:678',17,31,60,165,0.9
2107,'2024/06/06 14:46:15:701',17,20,58,173,0.9
2108,'2024/06/06 14:46:15:725',17,18,55,175,0.9
2109,'2024/06/06 14:46:15:750',17,16,56,171,0.9
2110,'2024/06/06 14:46:15:774',17,16,56,171,0.9
2111,'2024/06/06 14:46:15:797',17,15,57,168,0.9
2112,'2024/06/06 14:46:15:820',17,14,58,164,0.9
2113,'2024/06/06 14:46:15:845',17,11,57,166,0.9
2114,'2024/06/06 14:46:15:869',17,11,57,166,0.9
2115,'2024/06/06 14:46:15:890',17,12,56,161,0.9
2116,'2024/06/06 14:46:15:913',17,9,55,162,0.9
2117,'2024/06/06 14:46:15:935',17,9,55,162,0.9
2118,'2024/06/06 14:46:15:956',17,9,55,162,0.9
2119,'2024/06/06 14:46:15:979',17,11,54,158,0.9
2120,'2024/06/06 14:46:15:999',17,7,51,162,0.9
2121,'2024/06/06 14:46:16:019',17,7,51,162,0.9
2122,'2024/06/06 14:46:16:040',17,7,51,155,0.9
2123,'2024/06/06 14:46:16:062',17,9,54,151,0.9
2124,'2024/06/06 14:46:16:086',17,9,54,151,0.9
2125,'2024/06/06 14:46:16:109',17,7,49,156,0.9
2126,'2024/06/06 14:46:16:131',17,10,49,148,0.9
2127,'2024/06/06 14:46:16:153',17,11,48,144,0.9
2128,'2024/06/06 14:46:16:174',17,11,48,144,0.9
2129,'2024/06/06 14:46:16:194',17,10,46,145,0.9
2130,'2024/06/06 14:46:16:214',17,10,46,140,0.9
2131,'2024/06/06 14:46:16:238',17,10,46,140,0.9
2132,'2024/06/06 14:46:16:262',17,12,48,133,0.9
2133,'2024/06/06 14:46:16:283',17,14,48,131,0.9
2134,'2024/06/06 14:46:16:303',17,16,48,128,0.9
2135,'2024/06/06 14:46:16:323',17,16,48,128,0.9
2136,'2024/06/06 14:46:16:345',17,16,48,128,0.9
2137,'2024/06/06 14:46:16:365',17,14,45,131,0.9
2138,'2024/06/06 14:46:16:385',17,19,47,122,0.9
2139,'2024/06/06 14:46:16:405',17,19,47,122,0.9
2140,'2024/06/06 14:46:16:427',17,23,47,120,0.9
2141,'2024/06/06 14:46:16:446',17,24,46,120,0.9
2142,'2024/06/06 14:46:16:469',17,24,46,120,0.9
2143,'2024/06/06 14:46:16:490',17,29,49,114,0.9
2144,'2024/06/06 14:46:16:512',17,29,49,114,0.9
2145,'2024/06/06 14:46:16:532',17,31,48,111,0.9
2146,'2024/06/06 14:46:16:556',17,35,50,108,0.9
2147,'2024/06/06 14:46:16:577',17,35,50,108,0.9
2148,'2024/06/06 14:46:16:597',17,37,50,106,0.9
2149,'2024/06/06 14:46:16:618',17,40,52,104,0.9
2150,'2024/06/06 14:46:16:640',17,40,52,104,0.9
2151,'2024/06/06 14:46:16:660',17,43,54,103,0.9
2152,'2024/06/06 14:46:16:680',17,45,55,99,0.9
2153,'2024/06/06 14:46:16:703',17,45,55,99,0.9
2154,'2024/06/06 14:46:16:723',17,49,58,94,0.9
2155,'2024/06/06 14:46:16:743',17,49,58,94,0.9
2156,'2024/06/06 14:46:16:763',17,51,60,94,0.9
2157,'2024/06/06 14:46:16:784',17,53,60,94,0.9
2158,'2024/06/06 14:46:16:804',17,53,60,94,0.9
2159,'2024/06/06 14:46:16:824',17,56,63,90,0.9
2160,'2024/06/06 14:46:16:844',17,60,66,86,0.9
2161,'2024/06/06 14:46:16:862',17,60,66,86,0.9
2162,'2024/06/06 14:46:16:883',17,60,66,89,0.9
2163,'2024/06/06 14:46:16:902',17,60,66,89,0.9
2164,'2024/06/06 14:46:16:921',17,63,68,86,0.9
2165,'2024/06/06 14:46:16:942',17,63,68,86,0.9
2166,'2024/06/06 14:46:16:960',17,64,69,88,0.9
2167,'2024/06/06 14:46:16:981',17,68,71,84,0.9
2168,'2024/06/06 14:46:17:001',17,68,71,84,0.9
2169,'2024/06/06 14:46:17:021',17,69,72,83,0.9
2170,'2024/06/06 14:46:17:042',17,69,72,83,0.9
2171,'2024/06/06 14:46:17:061',17,69,73,83,0.9
2172,'2024/06/06 14:46:17:081',17,70,74,83,0.9
2173,'2024/06/06 14:46:17:100',17,70,74,83,0.9
2174,'2024/06/06 14:46:17:124',17,70,74,84,0.9
2175,'2024/06/06 14:46:17:144',17,70,74,84,0.9
2176,'2024/06/06 14:46:17:164',17,72,76,78,0.9
2177,'2024/06/06 14:46:17:185',17,73,78,75,0.9
2178,'2024/06/06 14:46:17:205',17,73,78,75,0.9
2179,'2024/06/06 14:46:17:225',17,71,78,77,0.9
2180,'2024/06/06 14:46:17:244',17,71,78,77,0.9
2181,'2024/06/06 14:46:17:262',17,69,78,78,0.9
2182,'2024/06/06 14:46:17:283',17,69,78,78,0.9
2183,'2024/06/06 14:46:17:302',17,67,77,77,0.9
2184,'2024/06/06 14:46:17:320',17,66,78,77,0.9
2185,'2024/06/06 14:46:17:342',17,66,78,77,0.9
2186,'2024/06/06 14:46:17:362',17,64,78,76,0.9
2187,'2024/06/06 14:46:17:380',17,61,77,79,0.9
2188,'2024/06/06 14:46:17:400',17,61,77,79,0.9
2189,'2024/06/06 14:46:17:422',17,58,78,78,0.9
2190,'2024/06/06 14:46:17:443',17,58,78,78,0.9
2191,'2024/06/06 14:46:17:463',17,58,79,75,0.9
2192,'2024/06/06 14:46:17:482',17,55,77,77,0.9
2193,'2024/06/06 14:46:17:503',17,55,77,77,0.9
2194,'2024/06/06 14:46:17:524',17,53,79,75,0.9
2195,'2024/06/06 14:46:17:544',17,53,79,75,0.9
2196,'2024/06/06 14:46:45:669',18,99,76,99,0.54
2197,'2024/06/06 14:46:45:690',18,100,78,96,0.54
2198,'2024/06/06 14:46:45:715',18,98,76,100,0.54
2199,'2024/06/06 14:46:45:745',18,98,76,100,0.54
2200,'2024/06/06 14:46:45:774',18,97,76,101,0.54
2201,'2024/06/06 14:46:45:803',18,96,77,101,0.54
2202,'2024/06/06 14:46:45:835',18,95,75,103,0.54
2203,'2024/06/06 14:46:45:864',18,95,75,103,0.54
2204,'2024/06/06 14:46:45:892',18,94,76,100,0.54
2205,'2024/06/06 14:46:45:921',18,92,75,101,0.54
2206,'2024/06/06 14:46:45:957',18,92,75,101,0.54
2207,'2024/06/06 14:46:45:994',18,90,74,103,0.54
2208,'2024/06/06 14:46:46:023',18,90,75,100,0.54
2209,'2024/06/06 14:46:46:052',18,87,75,101,0.54
2210,'2024/06/06 14:46:46:085',18,84,71,101,0.54
2211,'2024/06/06 14:46:46:112',18,84,71,101,0.54
2212,'2024/06/06 14:46:46:143',18,81,69,104,0.54
2213,'2024/06/06 14:46:46:174',18,83,70,97,0.54
2214,'2024/06/06 14:46:46:208',18,80,66,100,0.54
2215,'2024/06/06 14:46:46:236',18,76,64,102,0.54
2216,'2024/06/06 14:46:46:265',18,76,62,101,0.54
2217,'2024/06/06 14:46:46:294',18,73,60,99,0.54
2218,'2024/06/06 14:46:46:328',18,70,55,103,0.54
2219,'2024/06/06 14:46:46:365',18,70,55,103,0.54
2220,'2024/06/06 14:46:46:394',18,70,52,98,0.54
2221,'2024/06/06 14:46:46:424',18,66,47,103,0.54
2222,'2024/06/06 14:46:46:452',18,65,45,102,0.54
2223,'2024/06/06 14:46:46:481',18,65,45,102,0.54
2224,'2024/06/06 14:46:46:513',18,62,42,105,0.54
2225,'2024/06/06 14:46:46:544',18,61,39,107,0.54
2226,'2024/06/06 14:46:46:583',18,62,40,102,0.54
2227,'2024/06/06 14:46:46:620',18,62,37,106,0.54
2228,'2024/06/06 14:46:46:652',18,63,35,104,0.54
2229,'2024/06/06 14:46:46:683',18,64,34,104,0.54
2230,'2024/06/06 14:46:46:722',18,64,31,106,0.54
2231,'2024/06/06 14:46:46:754',18,63,28,110,0.54
2232,'2024/06/06 14:46:46:782',18,66,27,110,0.54
2233,'2024/06/06 14:46:46:810',18,66,25,112,0.54
2234,'2024/06/06 14:46:46:840',18,70,25,110,0.54
2235,'2024/06/06 14:46:46:873',18,70,25,110,0.54
2236,'2024/06/06 14:46:46:902',18,73,24,113,0.54
2237,'2024/06/06 14:46:46:929',18,76,24,112,0.54
2238,'2024/06/06 14:46:46:957',18,77,23,114,0.54
2239,'2024/06/06 14:46:46:985',18,80,25,114,0.54
2240,'2024/06/06 14:46:47:014',18,83,25,115,0.54
2241,'2024/06/06 14:46:47:042',18,83,25,115,0.54
2242,'2024/06/06 14:46:47:070',18,86,23,116,0.54
2243,'2024/06/06 14:46:47:101',18,87,23,118,0.54
2244,'2024/06/06 14:46:47:132',18,91,24,114,0.54
2245,'2024/06/06 14:46:47:165',18,91,24,114,0.54
2246,'2024/06/06 14:46:47:198',18,93,23,118,0.54
2247,'2024/06/06 14:46:47:228',18,93,23,118,0.54
2248,'2024/06/06 14:46:47:260',18,95,19,120,0.54
2249,'2024/06/06 14:46:47:290',18,97,21,118,0.54
2250,'2024/06/06 14:46:47:322',18,99,19,116,0.54
2251,'2024/06/06 14:46:47:357',18,98,18,118,0.54
2252,'2024/06/06 14:46:47:387',18,101,15,119,0.54
2253,'2024/06/06 14:46:47:416',18,101,15,119,0.54
2254,'2024/06/06 14:46:47:446',18,98,12,123,0.54
2255,'2024/06/06 14:46:47:479',18,104,14,115,0.54
2256,'2024/06/06 14:46:47:508',18,104,11,119,0.54
2257,'2024/06/06 14:46:47:540',18,104,12,118,0.54
2258,'2024/06/06 14:46:47:570',18,105,13,116,0.54
2259,'2024/06/06 14:46:47:599',18,105,13,118,0.54
2260,'2024/06/06 14:46:47:628',18,105,13,118,0.54
2261,'2024/06/06 14:46:47:658',18,105,14,121,0.54
2262,'2024/06/06 14:46:47:689',18,105,17,120,0.54
2263,'2024/06/06 14:46:47:723',18,104,20,123,0.54
2264,'2024/06/06 14:46:47:752',18,107,25,116,0.54
2265,'2024/06/06 14:46:47:783',18,104,29,122,0.54
2266,'2024/06/06 14:46:47:818',18,104,34,124,0.54
2267,'2024/06/06 14:46:47:847',18,107,39,121,0.54
2268,'2024/06/06 14:46:47:875',18,103,40,131,0.54
2269,'2024/06/06 14:46:47:912',18,106,47,127,0.54
2270,'2024/06/06 14:46:47:940',18,106,54,128,0.54
2271,'2024/06/06 14:46:47:972',18,105,59,129,0.54
